test_name,test_id,total_bytes,psamples,bytes_per_psample,suggested_psamples,ntuples
diehard_birthdays,0,15360024,100,153600,2730,X
diehard_operm5,1,400002000,100,4000020,104,X
diehard_rank_32x32,2,512000000,100,5120000,81,X
diehard_rank_6x8,3,240000000,100,2400000,174,X
diehard_bitstream,4,104858400,100,1048584,399,X
diehard_count_1s_str,8,25600400,100,256004,1638,X
diehard_count_1s_byt,9,512000000,100,5120000,81,X
diehard_parking_lot,10,9600000,100,96000,4369,X
diehard_2dsphere,11,6400000,100,64000,6553,X
diehard_3dsphere,12,4800000,100,48000,8738,X
diehard_squeeze,13,922690492,100,9226904,45,X
diehard_runs,15,40000000,100,400000,1048,X
diehard_craps,16,540079544,100,5400795,77,X
marsaglia_tsang_gcd,17,8000000000,100,80000000,5,X
sts_monobit,100,40000000,100,400000,1048,X
sts_runs,101,40000000,100,400000,1048,X
sts_serial,102,40000000,100,400000,1048,X
rgb_bitdist,200,80000400,100,800004,524,1
rgb_bitdist,200,160000400,100,1600004,262,2
rgb_bitdist,200,240000400,100,2400004,174,3
rgb_bitdist,200,320000400,100,3200004,131,4
rgb_bitdist,200,400000400,100,4000004,104,5
rgb_bitdist,200,480000400,100,4800004,87,6
rgb_bitdist,200,560000400,100,5600004,74,7
rgb_bitdist,200,640000400,100,6400004,65,8
rgb_bitdist,200,720000400,100,7200004,58,9
rgb_bitdist,200,800000400,100,8000004,52,10
rgb_bitdist,200,880000400,100,8800004,47,11
rgb_bitdist,200,960000400,100,9600004,43,12
rgb_minimum_distance,201,80000000,1000,80000,5242,2
rgb_minimum_distance,201,120000000,1000,120000,3495,3
rgb_minimum_distance,201,160000000,1000,160000,2621,4
rgb_minimum_distance,201,200000000,1000,200000,2097,5
rgb_permutations,202,80000000,100,800000,524,2
rgb_permutations,202,120000000,100,1200000,349,3
rgb_permutations,202,160000000,100,1600000,262,4
rgb_permutations,202,200000000,100,2000000,209,5
rgb_lagged_sum,203,400000000,100,4000000,104,0
rgb_lagged_sum,203,800000000,100,8000000,52,1
rgb_lagged_sum,203,1200000000,100,12000000,34,2
rgb_lagged_sum,203,160000000,10,16000000,26,3
rgb_lagged_sum,203,200000000,10,20000000,20,4
rgb_lagged_sum,203,240000000,10,24000000,17,5
rgb_lagged_sum,203,280000000,10,28000000,14,6
rgb_lagged_sum,203,320000000,10,32000000,13,7
rgb_lagged_sum,203,360000000,10,36000000,11,8
rgb_lagged_sum,203,400000000,10,40000000,10,9
rgb_lagged_sum,203,440000000,10,44000000,9,10
rgb_lagged_sum,203,480000000,10,48000000,8,11
rgb_lagged_sum,203,520000000,10,52000000,8,12
rgb_lagged_sum,203,560000000,10,56000000,7,13
rgb_lagged_sum,203,600000000,10,60000000,6,14
rgb_lagged_sum,203,640000000,10,64000000,6,15
rgb_lagged_sum,203,680000000,10,68000000,6,16
rgb_lagged_sum,203,720000000,10,72000000,5,17
rgb_lagged_sum,203,760000000,10,76000000,5,18
rgb_lagged_sum,203,800000000,10,80000000,5,19
rgb_lagged_sum,203,840000000,10,84000000,4,20
rgb_lagged_sum,203,880000000,10,88000000,4,21
rgb_lagged_sum,203,920000000,10,92000000,4,22
rgb_lagged_sum,203,960000000,10,96000000,4,23
rgb_lagged_sum,203,1000000000,10,100000000,4,24
rgb_lagged_sum,203,1040000000,10,104000000,4,25
rgb_lagged_sum,203,1080000000,10,108000000,3,26
rgb_lagged_sum,203,1120000000,10,112000000,3,27
rgb_lagged_sum,203,1160000000,10,116000000,3,28
rgb_lagged_sum,203,1200000000,10,120000000,3,29
rgb_lagged_sum,203,1240000000,10,124000000,3,30
rgb_lagged_sum,203,640000000,5,128000000,3,31
rgb_lagged_sum,203,660000000,5,132000000,3,32
rgb_kstest_test,204,40000000,1000,40000,10485,X
dab_bytedistrib,205,614400000,1,614400000,0,X
dab_dct,206,51200000,1,51200000,8,X
dab_filltree,207,452005220,1,452005220,0,X
dab_filltree2,208,116852840,1,116852840,3,X
dab_monobit2,209,260000000,1,260000000,1,X

