test_id;total_bytes;;
1;2 000 000 000;;5 118 882 352
2;1 200 000 000;;
3;400 000 000;;
4;400 000 000;;
5;400 000 000;;
6;400 000 000;;
7;400 000 000;;
8;400 000 000;;
9;400 000 000;;
10;400 000 000;;
11;800 000 000;;
12;1 200 000 000;;
13;1 600 000 000;;
14;1 680 000 000;;
15;1 680 000 000;;
16;1 920 000 000;;
17;1 920 000 000;;
18;160 000 000;;
19;240 000 000;;
20;280 000 000;;
21;128 000 000;;
22;128 000 000;;
23;2 560 000 000;;
24;2 560 000 000;;
25;2 560 000 000;;
26;2 560 000 000;;
27;1 333 354 440;;
28;1 333 237 992;;
29;1 974 498 376;;
30;1 974 578 040;;
31;3 199 814 244;;
32;3 199 942 492;;
33;5 118 882 352;;
34;5 117 757 988;;
35;2 000 000 000;;
36;2 000 000 000;;
37;2 000 000 000;;
38;2 000 000 000;;
39;2 600 000 000;;
40;2 600 000 000;;
41;2 000 000 000;;
42;2 000 000 000;;
43;800 000 000;;
44;1 200 000 000;;
45;400 000 000;;
46;1 200 000 000;;
47;800 000 000;;
48;2 000 000 000;;
49;820 000 000;;
50;880 000 000;;
51;2 048 000 000;;
52;2 048 000 000;;
53;2 048 000 000;;
54;2 048 000 000;;
55;1 653 295 792;;
56;480 000 000;;
57;1 440 000 000;;
58;600 000 000;;
59;1 800 000 000;;
60;384 000 000;;
61;1 152 000 000;;
62;2 400 000 000;;
63;800 000 000;;
64;320 000 672;;
65;600 000 000;;
66;360 000 000;;
67;680 000 000;;
68;400 000 000;;
69;668 000 000;;
70;400 000 000;;
71;480 000;;
72;480 000;;
73;44 739 280;;
74;109 400 000;;
75;327 800 000;;
76;1 333 336 000;;
77;1 200 002 400;;
78;1 200 000 000;;
79;1 200 000 000;;
80;1 333 360 000;;
81;1 200 000 000;;
82;2 000 000 000;;
83;2 000 000 000;;
84;1 600 000 000;;
85;2 400 000 000;;
86;2 400 000 000;;
87;2 400 000 000;;
88;2 400 000 000;;
89;3 200 000 000;;
90;960 000 000;;
91;533 334 568;;
92;1 599 992 688;;
93;1 333 333 400;;
94;2 000 000 020;;
95;1 333 333 400;;
96;2 000 000 040;;
