test_id;N;n;units;total_bytes;bytes_per_unit;bytes_float
1;1;500000000;500000000;2000000000;4;4
2;1;300000000;300000000;1200000000;4;4
3;10;10000000;100000000;400000000;4;4
4;10;10000000;100000000;400000000;4;4
5;10;10000000;100000000;400000000;4;4
6;10;10000000;100000000;400000000;4;4
7;10;10000000;100000000;400000000;4;4
8;10;10000000;100000000;400000000;4;4
9;10;10000000;100000000;400000000;4;4
10;10;10000000;100000000;400000000;4;4
11;5;20000000;100000000;800000000;8;8
12;5;20000000;100000000;1200000000;12;12
13;5;20000000;100000000;1600000000;16;16
14;3;20000000;60000000;1680000000;28;28
15;3;20000000;60000000;1680000000;28;28
16;3;20000000;60000000;1920000000;32;32
17;3;20000000;60000000;1920000000;32;32
18;10;2000000;20000000;160000000;8;8
19;10;2000000;20000000;240000000;12;12
20;5;2000000;10000000;280000000;28;28
21;4;4000000;16000000;128000000;8;8
22;2;4000000;8000000;128000000;16;16
23;1;40000000;40000000;2560000000;64;64
24;1;40000000;40000000;2560000000;64;64
25;1;10000000;10000000;2560000000;256;256
26;1;10000000;10000000;2560000000;256;256
27;1;40000000;40000000;1333354440;33;33,333861
28;1;40000000;40000000;1333237992;33;33,3309498
29;1;10000000;10000000;1974498376;197;197,4498376
30;1;10000000;10000000;1974578040;197;197,457804
31;1;100000000;100000000;3199814244;31;31,99814244
32;1;100000000;100000000;3199942492;31;31,99942492
33;1;5000000;5000000;5118882352;1023;1023,77647
34;1;5000000;5000000;5117757988;1023;1023,551598
35;1;500000000;500000000;2000000000;4;4
36;1;500000000;500000000;2000000000;4;4
37;1;50000000;50000000;2000000000;40;40
38;1;50000000;50000000;2000000000;40;40
39;5;10000000;50000000;2600000000;52;52
40;5;10000000;50000000;2600000000;52;52
41;10;10000000;100000000;2000000000;20;20
42;5;10000000;50000000;2000000000;40;40
43;1;10000000;10000000;800000000;80;80
44;1;10000000;10000000;1200000000;120;120
45;1;10000000;10000000;400000000;40;40
46;1;10000000;10000000;1200000000;120;120
48;1;500000000;500000000;2000000000;4;4
51;1;2000000;2000000;2048000000;1024;1024
52;1;2000000;2000000;2048000000;1024;1024
53;1;2000000;2000000;2048000000;1024;1024
54;1;2000000;2000000;2048000000;1024;1024
55;1;20000000;20000000;1653295792;82;82,6647896
56;1;1000000;1000000;480000000;480;480
57;1;1000000;1000000;1440000000;1440;1440
58;1;50000;50000;600000000;12000;12000
59;1;50000;50000;1800000000;36000;36000
60;1;2000;2000;384000000;192000;192000
61;1;2000;2000;1152000000;576000;576000
62;1;20000000;20000000;2400000000;120;120
63;1;100000000;100000000;800000000;8;8
64;1;40000000;40000000;320000672;8;8,0000168
65;1;50000000;50000000;600000000;12;12
66;1;10000000;10000000;360000000;36;36
67;1;5000000;5000000;680000000;136;136
68;1;1000000;1000000;400000000;400;400
69;1;500000;500000;668000000;1336;1336
70;1;100000;100000;400000000;4000;4000
71;1;120000;120000;480000;4;4
72;1;120000;120000;480000;4;4
77;1;300;300;1200000000;4000000;4000000
78;1;300000000;300000000;1200000000;4;4
79;1;300000000;300000000;1200000000;4;4
80;100;100000000;10000000000;1333360000;0;0,133336
81;30;100000000;3000000000;1200000000;0;0,4
82;1;500000000;500000000;2000000000;4;4
83;1;50000000;50000000;2000000000;40;40
84;1;10000000;10000000;1600000000;160;160
85;1;300000000;300000000;2400000000;8;8
86;1;100000000;100000000;2400000000;24;24
87;1;30000000;30000000;2400000000;80;80
88;1;10000000;10000000;2400000000;240;240
89;1;10000000;10000000;3200000000;320;320
90;1;1000000;1000000;960000000;960;960
91;1;1000000000;1000000000;533334568;0;0,533334568
92;1;1000000000;1000000000;1599992688;1;1,599992688
93;10;1000000000;10000000000;1333333360;0;0,133333336
94;5;1000000000;5000000000;2000000000;0;0,4
95;10;1000000000;10000000000;1333333360;0;0,133333336
96;5;1000000000;5000000000;2000000020;0;0,400000004
